ZCTA5,TotalPopulation,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CERVICAL_CrudePrev,CERVICAL_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DEPRESSION_CrudePrev,DEPRESSION_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,GHLTH_CrudePrev,GHLTH_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation
02109,3771,4.7,"( 3.9,  5.8)",16.6,"(16.0, 17.3)",22.2,"(21.6, 22.6)",20.1,"(19.5, 20.8)",65.7,"(64.4, 66.8)",5.8,"( 5.6,  6.1)",9.7,"( 9.4, 10.1)",85.3,"(83.6, 86.7)",4.0,"( 3.7,  4.4)",74.5,"(73.8, 75.1)",89.9,"(88.6, 90.9)",83.2,"(81.7, 84.4)",3.3,"( 2.9,  3.8)",57.2,"(52.1, 62.0)",46.3,"(40.6, 51.3)",8.7,"( 7.2, 10.6)",77.0,"(74.7, 79.0)",18.9,"(18.1, 19.7)",5.4,"( 5.1,  5.7)",6.7,"( 6.0,  7.7)",21.9,"(21.5, 22.3)",2.0,"( 1.9,  2.1)",12.8,"(11.5, 14.1)",82.8,"(80.6, 84.6)",12.5,"(11.7, 13.4)",17.6,"(16.9, 18.4)",5.6,"( 5.1,  6.1)",27.7,"(26.5, 28.7)",1.7,"( 1.6,  1.9)",6.8,"( 4.4, 11.9)",POINT (-71.05394458 42.35982634)
02111,7383,7.8,"( 6.5,  9.4)",16.1,"(15.4, 16.7)",16.7,"(16.4, 17.1)",23.0,"(22.3, 23.7)",72.6,"(71.5, 73.5)",4.1,"( 3.9,  4.2)",9.5,"( 9.1, 10.1)",72.7,"(70.3, 75.2)",4.5,"( 4.2,  4.8)",75.2,"(74.3, 75.9)",85.2,"(83.2, 86.8)",74.4,"(72.1, 76.5)",4.0,"( 3.6,  4.5)",47.7,"(42.1, 52.5)",38.9,"(34.2, 43.4)",12.8,"(11.0, 14.8)",63.5,"(60.2, 66.5)",16.8,"(15.9, 17.9)",8.9,"( 8.4,  9.4)",11.3,"(10.0, 12.6)",25.9,"(25.3, 26.6)",2.2,"( 2.1,  2.4)",22.8,"(20.9, 25.0)",79.4,"(76.8, 81.7)",13.6,"(12.6, 14.9)",15.8,"(15.1, 16.5)",7.1,"( 6.6,  7.9)",32.0,"(30.8, 33.2)",2.3,"( 2.1,  2.6)",11.2,"( 8.0, 15.2)",POINT (-71.05910467 42.35013318)
02113,6915,4.2,"( 3.5,  5.2)",11.3,"(11.0, 11.7)",25.5,"(25.0, 26.1)",13.7,"(13.4, 14.2)",60.3,"(59.2, 61.3)",4.1,"( 4.0,  4.2)",10.1,"( 9.8, 10.5)",83.8,"(81.7, 85.4)",2.5,"( 2.4,  2.6)",71.7,"(71.0, 72.4)",87.3,"(85.8, 88.3)",84.0,"(82.9, 84.9)",2.2,"( 2.0,  2.4)",59.0,"(54.9, 62.6)",47.8,"(44.0, 51.4)",7.2,"( 6.0,  8.8)",79.2,"(77.0, 81.0)",20.6,"(19.8, 21.5)",3.1,"( 3.0,  3.3)",4.8,"( 4.3,  5.4)",17.6,"(17.4, 18.0)",1.4,"( 1.3,  1.4)",10.2,"( 9.3, 11.3)",83.0,"(81.5, 84.4)",13.8,"(13.0, 14.7)",15.4,"(14.8, 16.1)",4.2,"( 3.9,  4.5)",26.1,"(25.2, 27.2)",1.1,"( 1.0,  1.2)",5.8,"( 4.1,  8.4)",POINT (-71.05523575 42.36533484)
02118,26498,8.9,"( 8.2,  9.7)",16.6,"(16.3, 16.9)",19.7,"(19.6, 19.9)",23.6,"(23.3, 24.0)",66.9,"(66.4, 67.3)",4.1,"( 4.0,  4.1)",11,"(10.8, 11.2)",81.2,"(80.2, 82.1)",4.2,"( 4.1,  4.4)",74.9,"(74.5, 75.2)",86.6,"(85.8, 87.3)",76.8,"(75.8, 77.6)",4.3,"( 4.1,  4.6)",46.3,"(43.9, 48.4)",39.2,"(37.3, 41.1)",14.2,"(13.1, 15.4)",63.6,"(62.2, 65.0)",19,"(18.6, 19.5)",8.4,"( 8.2,  8.6)",12.6,"(11.9, 13.2)",23.4,"(23.2, 23.6)",2.4,"( 2.3,  2.4)",21.0,"(20.2, 21.9)",83.0,"(82.2, 83.8)",14.7,"(14.3, 15.2)",22.7,"(22.3, 23.1)",8.1,"( 7.7,  8.5)",33.1,"(32.5, 33.6)",2.4,"( 2.3,  2.4)",12.7,"(11.1, 14.5)",POINT (-71.07068615 42.3381858)
02119,25346,13.9,"(13.1, 14.7)",24.1,"(23.7, 24.4)",15.0,"(14.9, 15.0)",34.6,"(34.2, 35.0)",75.2,"(74.9, 75.5)",4.9,"( 4.9,  5.0)",14.1,"(13.9, 14.4)",81.3,"(80.6, 82.0)",6.3,"( 6.2,  6.5)",80.1,"(79.8, 80.3)",87.8,"(87.3, 88.3)",75.0,"(74.2, 75.8)",7.1,"( 6.8,  7.4)",37.2,"(35.0, 39.4)",32.4,"(30.4, 34.4)",19.6,"(18.7, 20.5)",52.8,"(51.6, 54.1)",19.9,"(19.5, 20.2)",14.5,"(14.2, 14.8)",22.4,"(21.6, 23.3)",27.0,"(26.8, 27.2)",3.9,"( 3.8,  4.0)",31.5,"(30.5, 32.4)",84.0,"(83.2, 84.8)",17.5,"(17.1, 17.9)",31.7,"(31.3, 32.1)",12.8,"(12.4, 13.2)",39.8,"(39.3, 40.2)",4.5,"( 4.3,  4.7)",24.4,"(21.7, 27.3)",POINT (-71.08502089 42.32402563)
02124,47783,10.8,"(10.3, 11.4)",21.9,"(21.6, 22.2)",15.8,"(15.7, 16.0)",31.5,"(31.2, 31.8)",73.3,"(73.0, 73.6)",5,"( 5.0,  5.1)",13.2,"(13.0, 13.3)",83.0,"(82.4, 83.6)",5.2,"( 5.1,  5.3)",79.8,"(79.6, 80.0)",89.2,"(88.8, 89.6)",78.0,"(77.4, 78.7)",5.7,"( 5.5,  5.9)",43.0,"(41.1, 44.9)",38.1,"(36.3, 39.8)",17.3,"(16.5, 18.0)",59.4,"(58.4, 60.4)",19,"(18.7, 19.3)",11.6,"(11.4, 11.8)",16.9,"(16.3, 17.6)",25.9,"(25.8, 26.1)",3.1,"( 3.1,  3.2)",26.4,"(25.7, 27.2)",83.8,"(83.2, 84.4)",16.2,"(15.8, 16.5)",28.4,"(28.1, 28.7)",10.3,"(10.0, 10.6)",38.7,"(38.3, 39.0)",3.5,"( 3.4,  3.6)",17.8,"(16.2, 19.5)",POINT (-71.07137829 42.28596194)
02127,31799,6.4,"( 5.8,  7.1)",15.7,"(15.4, 16.0)",22.8,"(22.5, 23.1)",19.0,"(18.7, 19.3)",66.4,"(65.8, 67.0)",4.9,"( 4.8,  5.0)",10.6,"(10.4, 10.8)",84.6,"(83.6, 85.5)",3.6,"( 3.5,  3.7)",73.4,"(73.0, 73.8)",88.2,"(87.5, 88.9)",79.4,"(78.5, 80.1)",3.7,"( 3.5,  3.9)",55.8,"(53.1, 58.2)",46.5,"(43.7, 49.0)",11.0,"(10.1, 12.1)",73.0,"(71.6, 74.3)",20.6,"(20.1, 21.1)",5.6,"( 5.5,  5.8)",8.7,"( 8.3,  9.2)",22.7,"(22.5, 23.0)",1.9,"( 1.9,  2.0)",15.4,"(14.6, 16.2)",81.8,"(80.8, 82.8)",14.2,"(13.7, 14.8)",19.0,"(18.6, 19.5)",6.5,"( 6.2,  6.8)",29.0,"(28.4, 29.6)",1.8,"( 1.7,  1.9)",8.9,"( 7.5, 11.1)",POINT (-71.05000701 42.33258472)
02128,40508,16.3,"(15.1, 17.5)",17.5,"(17.2, 17.8)",20.1,"(20.0, 20.4)",22.4,"(22.1, 22.7)",65.8,"(65.4, 66.3)",4.5,"( 4.4,  4.5)",11,"(10.8, 11.2)",80.9,"(80.1, 81.8)",4.7,"( 4.6,  4.9)",72.7,"(72.3, 73.0)",84.9,"(84.2, 85.6)",73.3,"(72.4, 74.2)",5.1,"( 4.9,  5.4)",46.4,"(43.6, 48.9)",37.5,"(35.2, 39.9)",16.3,"(15.5, 17.1)",59.1,"(57.7, 60.5)",20.2,"(19.8, 20.6)",8.3,"( 8.1,  8.5)",15.4,"(14.7, 16.1)",24.4,"(24.2, 24.7)",2.5,"( 2.4,  2.6)",25.7,"(24.8, 26.7)",79.9,"(78.9, 81.0)",16.0,"(15.6, 16.4)",24.4,"(24.0, 24.7)",9.5,"( 9.1,  9.8)",33.0,"(32.5, 33.4)",2.4,"( 2.3,  2.5)",17.8,"(15.4, 20.4)",POINT (-71.015624 42.36281022)
02130,35401,7.2,"( 6.7,  7.7)",17.3,"(17.0, 17.5)",20.0,"(19.8, 20.2)",21.7,"(21.5, 22.0)",70.0,"(69.6, 70.4)",5.2,"( 5.1,  5.2)",10.7,"(10.6, 10.9)",85.1,"(84.5, 85.7)",4.0,"( 3.9,  4.1)",75.6,"(75.3, 75.9)",89.4,"(88.8, 89.9)",80.0,"(79.3, 80.6)",3.8,"( 3.6,  4.0)",51.8,"(50.0, 53.6)",43.2,"(41.4, 44.9)",10.9,"(10.1, 11.7)",71.8,"(70.7, 72.8)",19.4,"(19.0, 19.8)",7.1,"( 7.0,  7.3)",9.9,"( 9.4, 10.3)",24.7,"(24.6, 24.9)",2.3,"( 2.2,  2.3)",17.2,"(16.5, 17.8)",83.7,"(82.9, 84.4)",13.8,"(13.4, 14.1)",20.9,"(20.6, 21.2)",7.0,"( 6.8,  7.3)",30.1,"(29.7, 30.6)",2.1,"( 2.0,  2.1)",9.5,"( 8.2, 11.2)",POINT (-71.11485808 42.3098728)
02132,25861,5.5,"( 5.0,  5.9)",23.1,"(22.6, 23.7)",18.0,"(17.8, 18.2)",26.5,"(25.9, 27.1)",75.2,"(74.7, 75.6)",7.9,"( 7.7,  8.1)",10.2,"(10.0, 10.4)",86.5,"(85.6, 87.3)",5.6,"( 5.4,  5.9)",78.3,"(78.1, 78.6)",92.7,"(92.3, 93.1)",81.2,"(80.3, 82.1)",4.9,"( 4.5,  5.3)",55.6,"(52.8, 58.4)",45.5,"(42.7, 48.3)",10.7,"( 9.8, 11.7)",75.3,"(74.0, 76.4)",18.6,"(18.2, 19.1)",7.8,"( 7.5,  8.0)",9.4,"( 8.8, 10.1)",29.6,"(29.3, 29.9)",2.7,"( 2.6,  2.8)",16.9,"(16.0, 17.8)",81.6,"(80.2, 82.9)",12.2,"(11.8, 12.6)",19.5,"(19.1, 20.0)",7.5,"( 7.1,  7.9)",28.8,"(28.2, 29.4)",2.5,"( 2.4,  2.7)",9.1,"( 7.3, 11.1)",POINT (-71.16149883 42.28022681)
02135,42780,6.1,"( 5.6,  6.7)",13.4,"(13.2, 13.7)",22.4,"(21.8, 22.6)",17.2,"(16.9, 17.4)",64.6,"(64.1, 65.2)",4.2,"( 4.1,  4.3)",10.5,"(10.3, 10.7)",79.4,"(78.2, 80.5)",3.3,"( 3.2,  3.4)",73.0,"(72.6, 73.3)",85.4,"(84.6, 86.2)",80.5,"(80.0, 81.1)",3.1,"( 2.9,  3.3)",53.7,"(51.4, 56.1)",43.6,"(41.2, 45.8)",9.7,"( 8.8, 10.6)",72.1,"(70.7, 73.2)",20,"(19.5, 20.5)",4.9,"( 4.8,  5.0)",7.5,"( 7.1,  7.9)",20.0,"(19.8, 20.2)",1.8,"( 1.7,  1.8)",14.8,"(14.1, 15.6)",81.3,"(80.4, 82.1)",14.6,"(14.1, 15.1)",16.9,"(16.5, 17.2)",5.6,"( 5.4,  5.8)",28.7,"(28.2, 29.2)",1.6,"( 1.5,  1.7)",9.1,"( 7.4, 11.6)",POINT (-71.15381592 42.34988596)
02139,36349,5.5,"( 5.1,  6.0)",12.1,"(11.9, 12.3)",18.9,"(18.7, 19.1)",18.2,"(17.9, 18.4)",61.7,"(61.3, 62.1)",3.7,"( 3.6,  3.7)",9.8,"( 9.7, 10.0)",83.2,"(82.5, 83.8)",2.6,"( 2.5,  2.6)",72.3,"(72.0, 72.6)",87.2,"(86.5, 87.8)",79.3,"(78.7, 79.9)",2.5,"( 2.3,  2.6)",49.3,"(47.7, 50.8)",46.0,"(44.6, 47.3)",8.1,"( 7.5,  8.7)",74.5,"(73.5, 75.5)",17.2,"(16.9, 17.6)",4.8,"( 4.7,  4.9)",6.4,"( 6.1,  6.7)",19.5,"(19.4, 19.7)",1.6,"( 1.5,  1.6)",13.3,"(12.8, 13.9)",87.1,"(86.5, 87.7)",13.3,"(12.9, 13.7)",19.2,"(18.9, 19.5)",5.1,"( 4.9,  5.3)",28.6,"(28.1, 29.0)",1.4,"( 1.3,  1.4)",7.5,"( 6.6,  8.6)",POINT (-71.10304364 42.36253913)
02163,2582,8.1,"( 6.6,  9.9)",4.8,"( 4.3,  5.3)",24.9,"(24.2, 25.5)",9.1,"( 8.3,  9.8)",24.1,"(22.4, 25.8)",0.9,"( 0.8,  0.9)",12,"(11.1, 12.9)",70.1,"(65.2, 74.9)",0.9,"( 0.8,  1.0)",68.7,"(67.2, 70.2)",74.3,"(71.2, 77.4)",77.5,"(74.5, 80.3)",2.0,"( 1.5,  2.4)",44.6,"(30.6, 59.2)",29.6,"(20.3, 40.8)",12.6,"( 9.3, 15.7)",60.6,"(56.1, 65.4)",22.9,"(20.8, 24.8)",1.6,"( 1.5,  1.8)",7.3,"( 5.9,  8.6)",9.7,"( 9.1, 10.3)",0.8,"( 0.7,  0.9)",16.9,"(14.0, 19.8)",83.0,"(78.9, 86.8)",19.8,"(17.4, 21.8)",16.6,"(15.0, 18.3)",4.9,"( 4.1,  5.6)",32.8,"(30.1, 35.3)",0.6,"( 0.5,  0.7)",12.8,"( 4.9, 22.0)",POINT (-71.12091089 42.36632855)
02215,26125,6.7,"( 6.1,  7.5)",7.0,"( 6.8,  7.2)",22.5,"(21.7, 23.3)",10.5,"(10.2, 10.8)",37.1,"(36.3, 37.9)",1.7,"( 1.7,  1.7)",12.2,"(11.7, 12.6)",68.9,"(66.7, 71.0)",1.6,"( 1.5,  1.7)",71.9,"(71.2, 72.6)",76.7,"(75.2, 78.2)",78.6,"(77.5, 79.6)",2.3,"( 2.1,  2.5)",49.9,"(46.8, 53.1)",41.9,"(38.9, 44.8)",9.5,"( 8.4, 10.7)",67.9,"(65.7, 69.8)",23.1,"(22.1, 24.0)",2.6,"( 2.5,  2.7)",7,"( 6.5,  7.7)",11.1,"(10.9, 11.3)",1.1,"( 1.1,  1.2)",15.5,"(14.3, 16.7)",81.1,"(79.8, 82.4)",19.0,"(18.0, 20.0)",14.8,"(14.3, 15.5)",5.0,"( 4.7,  5.4)",29.6,"(28.6, 30.7)",0.9,"( 0.8,  0.9)",11.0,"( 8.7, 13.9)",POINT (-71.1030423 42.34771039)
