,zip_code,OZONE_AQI,PM2.5_AQI,year,Total population,Average Household Size,Percentage of Foreign Born Residents,Percentage of Non-English Speakers,Percentage of population aged 5 years and over who speak Spanish at home,Percentage of population aged 5 years and over who speak an Indo-european other than Spanish at home,Percentage of population aged 5 years and over who speak an Asian and Pacific Islander language,Percentage of population aged 5 years and over who speak other language at home,Percentage of population aged 25 years and over with a Bachelor's degree,Percentage of population with American ancestry,Percentage of population with Arab ancestry,Percentage of population with Dutch ancestry,Percentage of population with English ancestry,Percentage of population with French ancestry,Percentage of population with German ancestry,Percentage of population with Irish ancestry,Percentage of population with Italian ancestry,Percentage of population with Subsaharan African ancestry,Percentage of population with West Indian ancestry,Percentage of people commuting to work,Mean travel time to work (minutes),"Percentage of population commuting to work by car, truck or van -- drove alone",Percentage of population commuting to work by car -- carpoled,Percentage of population working from home,Unemployment rate,Percentage of private wage and salary workers,Percentage of government workers,Percentage of population in labor force,Percentage of employed,Percentage of unemployed,Median household income,Mean household income,Percentage of population with no health insurance,Percentage of owner occupied housing units,Percentage of renter occupied housing units,Median price of owner occupied units (dollars),Median price of rent occupied units (dollars),Median age (years),Percentage of population under 18,Percentage of population over 18,Percentage of white people,Percentage of Black or African American people,Percentage of Asian people,Percentage of Native Hawaiian and Other Pacific Islander people,Percentage of Hispanic or Latino People
0,2108,31.72905027932961,40.2534435261708,2017,4225,1.65,15.4,9.9,2.8,5.7,1.4,0.0,29.7,0.4,0.0,0.6,14.8,4.9,7.4,15.6,10.1,0.8,0.2,18.7,20.9,9.1,1.9,23.4,11.2,91.7,4.0,58.5,51.2,6.5,151793,279374,1.6,46.9,53.1,2000000.0,2368,35.7,5.6,94.4,82.3,5.4,5.2,0.0,7.0
1,2108,31.565934065934066,43.07988980716254,2018,4225,1.65,15.4,9.9,2.8,5.7,1.4,0.0,29.7,0.4,0.0,0.6,14.8,4.9,7.4,15.6,10.1,0.8,0.2,18.7,20.9,9.1,1.9,23.4,11.2,91.7,4.0,58.5,51.2,6.5,151793,279374,1.6,46.9,53.1,2000000.0,2368,35.7,5.6,94.4,82.3,5.4,5.2,0.0,7.0
2,2108,31.304469273743017,34.99452054794521,2019,4225,1.65,15.4,9.9,2.8,5.7,1.4,0.0,29.7,0.4,0.0,0.6,14.8,4.9,7.4,15.6,10.1,0.8,0.2,18.7,20.9,9.1,1.9,23.4,11.2,91.7,4.0,58.5,51.2,6.5,151793,279374,1.6,46.9,53.1,2000000.0,2368,35.7,5.6,94.4,82.3,5.4,5.2,0.0,7.0
3,2108,31.083798882681563,33.36986301369863,2021,4225,1.65,15.4,9.9,2.8,5.7,1.4,0.0,29.7,0.4,0.0,0.6,14.8,4.9,7.4,15.6,10.1,0.8,0.2,18.7,20.9,9.1,1.9,23.4,11.2,91.7,4.0,58.5,51.2,6.5,151793,279374,1.6,46.9,53.1,2000000.0,2368,35.7,5.6,94.4,82.3,5.4,5.2,0.0,7.0
4,2108,34.41456582633053,30.378082191780823,2022,4225,1.65,15.4,9.9,2.8,5.7,1.4,0.0,29.7,0.4,0.0,0.6,14.8,4.9,7.4,15.6,10.1,0.8,0.2,18.7,20.9,9.1,1.9,23.4,11.2,91.7,4.0,58.5,51.2,6.5,151793,279374,1.6,46.9,53.1,2000000.0,2368,35.7,5.6,94.4,82.3,5.4,5.2,0.0,7.0
5,2109,31.72905027932961,40.2534435261708,2017,3627,1.78,15.1,15.9,4.5,6.1,4.3,1.0,46.1,3.3,0.6,1.8,6.3,2.1,9.1,26.8,16.0,0.4,0.2,15.4,22.7,14.7,0.4,15.2,2.4,91.6,5.3,80.1,77.1,1.9,156351,207404,1.4,39.9,60.1,792500.0,3212,35.6,7.1,92.9,86.6,1.0,8.6,0.0,1.6
6,2109,31.565934065934066,43.07988980716254,2018,3627,1.78,15.1,15.9,4.5,6.1,4.3,1.0,46.1,3.3,0.6,1.8,6.3,2.1,9.1,26.8,16.0,0.4,0.2,15.4,22.7,14.7,0.4,15.2,2.4,91.6,5.3,80.1,77.1,1.9,156351,207404,1.4,39.9,60.1,792500.0,3212,35.6,7.1,92.9,86.6,1.0,8.6,0.0,1.6
7,2109,31.304469273743017,34.99452054794521,2019,3627,1.78,15.1,15.9,4.5,6.1,4.3,1.0,46.1,3.3,0.6,1.8,6.3,2.1,9.1,26.8,16.0,0.4,0.2,15.4,22.7,14.7,0.4,15.2,2.4,91.6,5.3,80.1,77.1,1.9,156351,207404,1.4,39.9,60.1,792500.0,3212,35.6,7.1,92.9,86.6,1.0,8.6,0.0,1.6
8,2109,31.07563025210084,33.37362637362637,2021,3627,1.78,15.1,15.9,4.5,6.1,4.3,1.0,46.1,3.3,0.6,1.8,6.3,2.1,9.1,26.8,16.0,0.4,0.2,15.4,22.7,14.7,0.4,15.2,2.4,91.6,5.3,80.1,77.1,1.9,156351,207404,1.4,39.9,60.1,792500.0,3212,35.6,7.1,92.9,86.6,1.0,8.6,0.0,1.6
9,2109,34.37921348314607,30.315934065934066,2022,3627,1.78,15.1,15.9,4.5,6.1,4.3,1.0,46.1,3.3,0.6,1.8,6.3,2.1,9.1,26.8,16.0,0.4,0.2,15.4,22.7,14.7,0.4,15.2,2.4,91.6,5.3,80.1,77.1,1.9,156351,207404,1.4,39.9,60.1,792500.0,3212,35.6,7.1,92.9,86.6,1.0,8.6,0.0,1.6
10,2110,31.72905027932961,40.2534435261708,2017,2307,1.78,21.2,14.2,1.7,8.3,3.0,1.2,36.5,14.0,2.0,0.0,11.7,4.4,7.5,21.3,11.1,0.0,0.0,12.0,25.5,25.5,1.6,17.8,7.4,77.3,13.6,59.5,55.1,4.4,123942,313727,0.8,63.1,36.9,1142200.0,3034,54.6,7.9,92.1,89.2,2.2,4.3,0.6,2.7
11,2110,31.565934065934066,43.07988980716254,2018,2307,1.78,21.2,14.2,1.7,8.3,3.0,1.2,36.5,14.0,2.0,0.0,11.7,4.4,7.5,21.3,11.1,0.0,0.0,12.0,25.5,25.5,1.6,17.8,7.4,77.3,13.6,59.5,55.1,4.4,123942,313727,0.8,63.1,36.9,1142200.0,3034,54.6,7.9,92.1,89.2,2.2,4.3,0.6,2.7
12,2110,31.304469273743017,34.99452054794521,2019,2307,1.78,21.2,14.2,1.7,8.3,3.0,1.2,36.5,14.0,2.0,0.0,11.7,4.4,7.5,21.3,11.1,0.0,0.0,12.0,25.5,25.5,1.6,17.8,7.4,77.3,13.6,59.5,55.1,4.4,123942,313727,0.8,63.1,36.9,1142200.0,3034,54.6,7.9,92.1,89.2,2.2,4.3,0.6,2.7
13,2110,31.083798882681563,33.36986301369863,2021,2307,1.78,21.2,14.2,1.7,8.3,3.0,1.2,36.5,14.0,2.0,0.0,11.7,4.4,7.5,21.3,11.1,0.0,0.0,12.0,25.5,25.5,1.6,17.8,7.4,77.3,13.6,59.5,55.1,4.4,123942,313727,0.8,63.1,36.9,1142200.0,3034,54.6,7.9,92.1,89.2,2.2,4.3,0.6,2.7
14,2110,34.41456582633053,30.378082191780823,2022,2307,1.78,21.2,14.2,1.7,8.3,3.0,1.2,36.5,14.0,2.0,0.0,11.7,4.4,7.5,21.3,11.1,0.0,0.0,12.0,25.5,25.5,1.6,17.8,7.4,77.3,13.6,59.5,55.1,4.4,123942,313727,0.8,63.1,36.9,1142200.0,3034,54.6,7.9,92.1,89.2,2.2,4.3,0.6,2.7
15,2111,31.72905027932961,40.2534435261708,2017,7841,1.93,46.0,58.1,8.3,7.8,38.7,3.3,22.6,1.1,4.1,0.0,4.2,1.8,7.1,12.4,5.3,2.6,0.1,15.6,20.6,13.8,2.3,14.9,7.8,91.9,5.7,60.4,55.7,4.7,65587,149466,1.5,27.7,72.3,887900.0,1619,31.2,14.0,86.0,40.7,2.1,48.3,0.0,8.8
16,2111,31.565934065934066,43.07988980716254,2018,7841,1.93,46.0,58.1,8.3,7.8,38.7,3.3,22.6,1.1,4.1,0.0,4.2,1.8,7.1,12.4,5.3,2.6,0.1,15.6,20.6,13.8,2.3,14.9,7.8,91.9,5.7,60.4,55.7,4.7,65587,149466,1.5,27.7,72.3,887900.0,1619,31.2,14.0,86.0,40.7,2.1,48.3,0.0,8.8
17,2111,31.304469273743017,34.99452054794521,2019,7841,1.93,46.0,58.1,8.3,7.8,38.7,3.3,22.6,1.1,4.1,0.0,4.2,1.8,7.1,12.4,5.3,2.6,0.1,15.6,20.6,13.8,2.3,14.9,7.8,91.9,5.7,60.4,55.7,4.7,65587,149466,1.5,27.7,72.3,887900.0,1619,31.2,14.0,86.0,40.7,2.1,48.3,0.0,8.8
18,2111,31.083798882681563,33.36986301369863,2021,7841,1.93,46.0,58.1,8.3,7.8,38.7,3.3,22.6,1.1,4.1,0.0,4.2,1.8,7.1,12.4,5.3,2.6,0.1,15.6,20.6,13.8,2.3,14.9,7.8,91.9,5.7,60.4,55.7,4.7,65587,149466,1.5,27.7,72.3,887900.0,1619,31.2,14.0,86.0,40.7,2.1,48.3,0.0,8.8
19,2111,34.41456582633053,30.378082191780823,2022,7841,1.93,46.0,58.1,8.3,7.8,38.7,3.3,22.6,1.1,4.1,0.0,4.2,1.8,7.1,12.4,5.3,2.6,0.1,15.6,20.6,13.8,2.3,14.9,7.8,91.9,5.7,60.4,55.7,4.7,65587,149466,1.5,27.7,72.3,887900.0,1619,31.2,14.0,86.0,40.7,2.1,48.3,0.0,8.8
20,2113,31.72905027932961,40.2534435261708,2017,6726,1.66,12.2,21.7,6.3,10.4,3.9,1.1,50.8,1.2,0.6,0.6,10.5,3.3,6.9,23.8,24.7,0.3,0.2,22.0,25.9,19.4,1.2,19.0,2.0,89.2,6.0,86.8,85.1,1.7,100613,140047,3.2,15.6,84.4,655500.0,2144,29.8,4.0,96.0,88.3,3.6,3.7,0.0,9.7
21,2113,31.565934065934066,43.07988980716254,2018,6726,1.66,12.2,21.7,6.3,10.4,3.9,1.1,50.8,1.2,0.6,0.6,10.5,3.3,6.9,23.8,24.7,0.3,0.2,22.0,25.9,19.4,1.2,19.0,2.0,89.2,6.0,86.8,85.1,1.7,100613,140047,3.2,15.6,84.4,655500.0,2144,29.8,4.0,96.0,88.3,3.6,3.7,0.0,9.7
22,2113,31.304469273743017,34.99452054794521,2019,6726,1.66,12.2,21.7,6.3,10.4,3.9,1.1,50.8,1.2,0.6,0.6,10.5,3.3,6.9,23.8,24.7,0.3,0.2,22.0,25.9,19.4,1.2,19.0,2.0,89.2,6.0,86.8,85.1,1.7,100613,140047,3.2,15.6,84.4,655500.0,2144,29.8,4.0,96.0,88.3,3.6,3.7,0.0,9.7
23,2113,31.083798882681563,33.36986301369863,2021,6726,1.66,12.2,21.7,6.3,10.4,3.9,1.1,50.8,1.2,0.6,0.6,10.5,3.3,6.9,23.8,24.7,0.3,0.2,22.0,25.9,19.4,1.2,19.0,2.0,89.2,6.0,86.8,85.1,1.7,100613,140047,3.2,15.6,84.4,655500.0,2144,29.8,4.0,96.0,88.3,3.6,3.7,0.0,9.7
24,2113,34.41456582633053,30.378082191780823,2022,6726,1.66,12.2,21.7,6.3,10.4,3.9,1.1,50.8,1.2,0.6,0.6,10.5,3.3,6.9,23.8,24.7,0.3,0.2,22.0,25.9,19.4,1.2,19.0,2.0,89.2,6.0,86.8,85.1,1.7,100613,140047,3.2,15.6,84.4,655500.0,2144,29.8,4.0,96.0,88.3,3.6,3.7,0.0,9.7
25,2114,31.72905027932961,40.2534435261708,2017,13401,1.7,22.1,27.5,7.5,11.9,6.0,2.1,40.9,1.1,1.8,0.4,8.0,4.2,8.4,21.9,11.6,0.4,0.7,17.1,21.3,15.3,0.4,22.3,2.5,89.5,4.9,75.9,73.8,1.9,118125,169686,1.0,23.1,76.9,864000.0,2650,33.8,7.6,92.4,78.2,4.1,8.5,0.0,9.6
26,2114,31.565934065934066,43.07988980716254,2018,13401,1.7,22.1,27.5,7.5,11.9,6.0,2.1,40.9,1.1,1.8,0.4,8.0,4.2,8.4,21.9,11.6,0.4,0.7,17.1,21.3,15.3,0.4,22.3,2.5,89.5,4.9,75.9,73.8,1.9,118125,169686,1.0,23.1,76.9,864000.0,2650,33.8,7.6,92.4,78.2,4.1,8.5,0.0,9.6
27,2114,31.304469273743017,34.99452054794521,2019,13401,1.7,22.1,27.5,7.5,11.9,6.0,2.1,40.9,1.1,1.8,0.4,8.0,4.2,8.4,21.9,11.6,0.4,0.7,17.1,21.3,15.3,0.4,22.3,2.5,89.5,4.9,75.9,73.8,1.9,118125,169686,1.0,23.1,76.9,864000.0,2650,33.8,7.6,92.4,78.2,4.1,8.5,0.0,9.6
28,2114,31.083798882681563,33.36986301369863,2021,13401,1.7,22.1,27.5,7.5,11.9,6.0,2.1,40.9,1.1,1.8,0.4,8.0,4.2,8.4,21.9,11.6,0.4,0.7,17.1,21.3,15.3,0.4,22.3,2.5,89.5,4.9,75.9,73.8,1.9,118125,169686,1.0,23.1,76.9,864000.0,2650,33.8,7.6,92.4,78.2,4.1,8.5,0.0,9.6
29,2114,34.41456582633053,30.378082191780823,2022,13401,1.7,22.1,27.5,7.5,11.9,6.0,2.1,40.9,1.1,1.8,0.4,8.0,4.2,8.4,21.9,11.6,0.4,0.7,17.1,21.3,15.3,0.4,22.3,2.5,89.5,4.9,75.9,73.8,1.9,118125,169686,1.0,23.1,76.9,864000.0,2650,33.8,7.6,92.4,78.2,4.1,8.5,0.0,9.6
30,2115,31.72905027932961,40.2534435261708,2017,28559,1.71,26.7,36.6,10.6,11.1,12.9,2.0,38.3,1.5,2.2,0.5,5.0,2.8,6.1,13.5,11.3,2.0,1.1,23.2,21.7,12.1,2.7,9.5,12.5,93.2,4.5,54.4,47.6,6.8,47486,87587,2.1,12.3,87.7,931300.0,1784,21.9,5.7,94.3,60.3,8.0,18.3,0.4,14.6
31,2115,31.565934065934066,43.07988980716254,2018,28559,1.71,26.7,36.6,10.6,11.1,12.9,2.0,38.3,1.5,2.2,0.5,5.0,2.8,6.1,13.5,11.3,2.0,1.1,23.2,21.7,12.1,2.7,9.5,12.5,93.2,4.5,54.4,47.6,6.8,47486,87587,2.1,12.3,87.7,931300.0,1784,21.9,5.7,94.3,60.3,8.0,18.3,0.4,14.6
32,2115,31.304469273743017,34.99452054794521,2019,28559,1.71,26.7,36.6,10.6,11.1,12.9,2.0,38.3,1.5,2.2,0.5,5.0,2.8,6.1,13.5,11.3,2.0,1.1,23.2,21.7,12.1,2.7,9.5,12.5,93.2,4.5,54.4,47.6,6.8,47486,87587,2.1,12.3,87.7,931300.0,1784,21.9,5.7,94.3,60.3,8.0,18.3,0.4,14.6
33,2115,31.083798882681563,33.36986301369863,2021,28559,1.71,26.7,36.6,10.6,11.1,12.9,2.0,38.3,1.5,2.2,0.5,5.0,2.8,6.1,13.5,11.3,2.0,1.1,23.2,21.7,12.1,2.7,9.5,12.5,93.2,4.5,54.4,47.6,6.8,47486,87587,2.1,12.3,87.7,931300.0,1784,21.9,5.7,94.3,60.3,8.0,18.3,0.4,14.6
34,2115,34.41456582633053,30.378082191780823,2022,28559,1.71,26.7,36.6,10.6,11.1,12.9,2.0,38.3,1.5,2.2,0.5,5.0,2.8,6.1,13.5,11.3,2.0,1.1,23.2,21.7,12.1,2.7,9.5,12.5,93.2,4.5,54.4,47.6,6.8,47486,87587,2.1,12.3,87.7,931300.0,1784,21.9,5.7,94.3,60.3,8.0,18.3,0.4,14.6
35,2116,31.72905027932961,40.2534435261708,2017,22587,1.71,22.0,27.2,6.4,8.5,10.4,1.9,32.9,2.0,1.5,0.5,9.4,2.9,9.5,13.6,8.6,1.6,1.0,19.0,22.0,19.2,2.1,14.7,3.1,92.3,4.3,67.4,65.3,2.1,121967,227493,2.1,36.0,64.0,1401900.0,2183,33.7,8.4,91.6,70.7,4.8,13.9,0.4,7.9
36,2116,31.565934065934066,43.07988980716254,2018,22587,1.71,22.0,27.2,6.4,8.5,10.4,1.9,32.9,2.0,1.5,0.5,9.4,2.9,9.5,13.6,8.6,1.6,1.0,19.0,22.0,19.2,2.1,14.7,3.1,92.3,4.3,67.4,65.3,2.1,121967,227493,2.1,36.0,64.0,1401900.0,2183,33.7,8.4,91.6,70.7,4.8,13.9,0.4,7.9
37,2116,31.304469273743017,34.99452054794521,2019,22587,1.71,22.0,27.2,6.4,8.5,10.4,1.9,32.9,2.0,1.5,0.5,9.4,2.9,9.5,13.6,8.6,1.6,1.0,19.0,22.0,19.2,2.1,14.7,3.1,92.3,4.3,67.4,65.3,2.1,121967,227493,2.1,36.0,64.0,1401900.0,2183,33.7,8.4,91.6,70.7,4.8,13.9,0.4,7.9
38,2116,31.083798882681563,33.36986301369863,2021,22587,1.71,22.0,27.2,6.4,8.5,10.4,1.9,32.9,2.0,1.5,0.5,9.4,2.9,9.5,13.6,8.6,1.6,1.0,19.0,22.0,19.2,2.1,14.7,3.1,92.3,4.3,67.4,65.3,2.1,121967,227493,2.1,36.0,64.0,1401900.0,2183,33.7,8.4,91.6,70.7,4.8,13.9,0.4,7.9
39,2116,34.41456582633053,30.378082191780823,2022,22587,1.71,22.0,27.2,6.4,8.5,10.4,1.9,32.9,2.0,1.5,0.5,9.4,2.9,9.5,13.6,8.6,1.6,1.0,19.0,22.0,19.2,2.1,14.7,3.1,92.3,4.3,67.4,65.3,2.1,121967,227493,2.1,36.0,64.0,1401900.0,2183,33.7,8.4,91.6,70.7,4.8,13.9,0.4,7.9
40,2118,31.72905027932961,40.2534435261708,2017,27718,1.84,28.2,39.3,17.1,6.5,12.8,3.0,27.1,1.7,1.0,0.6,5.5,1.5,6.4,11.0,7.4,3.0,1.6,25.5,27.3,23.8,4.2,13.0,10.0,90.1,5.8,63.3,56.9,6.3,71096,142087,2.4,27.6,72.4,946500.0,1418,36.7,11.7,88.3,49.8,17.4,16.1,0.0,18.0
41,2118,31.565934065934066,43.07988980716254,2018,27718,1.84,28.2,39.3,17.1,6.5,12.8,3.0,27.1,1.7,1.0,0.6,5.5,1.5,6.4,11.0,7.4,3.0,1.6,25.5,27.3,23.8,4.2,13.0,10.0,90.1,5.8,63.3,56.9,6.3,71096,142087,2.4,27.6,72.4,946500.0,1418,36.7,11.7,88.3,49.8,17.4,16.1,0.0,18.0
42,2118,31.304469273743017,34.99452054794521,2019,27718,1.84,28.2,39.3,17.1,6.5,12.8,3.0,27.1,1.7,1.0,0.6,5.5,1.5,6.4,11.0,7.4,3.0,1.6,25.5,27.3,23.8,4.2,13.0,10.0,90.1,5.8,63.3,56.9,6.3,71096,142087,2.4,27.6,72.4,946500.0,1418,36.7,11.7,88.3,49.8,17.4,16.1,0.0,18.0
43,2118,31.083798882681563,33.36986301369863,2021,27718,1.84,28.2,39.3,17.1,6.5,12.8,3.0,27.1,1.7,1.0,0.6,5.5,1.5,6.4,11.0,7.4,3.0,1.6,25.5,27.3,23.8,4.2,13.0,10.0,90.1,5.8,63.3,56.9,6.3,71096,142087,2.4,27.6,72.4,946500.0,1418,36.7,11.7,88.3,49.8,17.4,16.1,0.0,18.0
44,2118,34.41456582633053,30.378082191780823,2022,27718,1.84,28.2,39.3,17.1,6.5,12.8,3.0,27.1,1.7,1.0,0.6,5.5,1.5,6.4,11.0,7.4,3.0,1.6,25.5,27.3,23.8,4.2,13.0,10.0,90.1,5.8,63.3,56.9,6.3,71096,142087,2.4,27.6,72.4,946500.0,1418,36.7,11.7,88.3,49.8,17.4,16.1,0.0,18.0
45,2119,31.72905027932961,40.2534435261708,2017,28307,2.32,26.8,44.4,28.2,9.9,1.1,5.2,19.4,2.1,0.7,0.1,1.1,0.3,1.7,2.9,2.0,11.1,6.7,34.6,30.3,40.5,5.1,6.3,9.5,84.3,12.8,59.9,54.2,5.7,34987,58959,5.3,25.2,74.8,563200.0,1059,34.7,20.5,79.5,18.4,50.8,2.0,0.0,32.4
46,2119,31.565934065934066,43.07988980716254,2018,28307,2.32,26.8,44.4,28.2,9.9,1.1,5.2,19.4,2.1,0.7,0.1,1.1,0.3,1.7,2.9,2.0,11.1,6.7,34.6,30.3,40.5,5.1,6.3,9.5,84.3,12.8,59.9,54.2,5.7,34987,58959,5.3,25.2,74.8,563200.0,1059,34.7,20.5,79.5,18.4,50.8,2.0,0.0,32.4
47,2119,31.304469273743017,34.99452054794521,2019,28307,2.32,26.8,44.4,28.2,9.9,1.1,5.2,19.4,2.1,0.7,0.1,1.1,0.3,1.7,2.9,2.0,11.1,6.7,34.6,30.3,40.5,5.1,6.3,9.5,84.3,12.8,59.9,54.2,5.7,34987,58959,5.3,25.2,74.8,563200.0,1059,34.7,20.5,79.5,18.4,50.8,2.0,0.0,32.4
48,2119,31.083798882681563,33.36986301369863,2021,28307,2.32,26.8,44.4,28.2,9.9,1.1,5.2,19.4,2.1,0.7,0.1,1.1,0.3,1.7,2.9,2.0,11.1,6.7,34.6,30.3,40.5,5.1,6.3,9.5,84.3,12.8,59.9,54.2,5.7,34987,58959,5.3,25.2,74.8,563200.0,1059,34.7,20.5,79.5,18.4,50.8,2.0,0.0,32.4
49,2119,34.41456582633053,30.378082191780823,2022,28307,2.32,26.8,44.4,28.2,9.9,1.1,5.2,19.4,2.1,0.7,0.1,1.1,0.3,1.7,2.9,2.0,11.1,6.7,34.6,30.3,40.5,5.1,6.3,9.5,84.3,12.8,59.9,54.2,5.7,34987,58959,5.3,25.2,74.8,563200.0,1059,34.7,20.5,79.5,18.4,50.8,2.0,0.0,32.4
50,2120,31.72905027932961,40.2534435261708,2017,15082,2.63,21.7,40.2,18.7,8.1,11.1,2.2,26.3,1.5,0.5,0.5,3.3,1.3,4.9,9.5,5.3,2.3,1.2,36.0,27.6,21.9,4.1,6.9,13.7,91.8,6.1,61.6,53.2,8.5,50728,71815,5.1,9.6,90.4,602900.0,1363,23.7,9.7,90.3,43.7,21.6,15.8,0.0,23.4
51,2120,31.565934065934066,43.07988980716254,2018,15082,2.63,21.7,40.2,18.7,8.1,11.1,2.2,26.3,1.5,0.5,0.5,3.3,1.3,4.9,9.5,5.3,2.3,1.2,36.0,27.6,21.9,4.1,6.9,13.7,91.8,6.1,61.6,53.2,8.5,50728,71815,5.1,9.6,90.4,602900.0,1363,23.7,9.7,90.3,43.7,21.6,15.8,0.0,23.4
52,2120,31.304469273743017,34.99452054794521,2019,15082,2.63,21.7,40.2,18.7,8.1,11.1,2.2,26.3,1.5,0.5,0.5,3.3,1.3,4.9,9.5,5.3,2.3,1.2,36.0,27.6,21.9,4.1,6.9,13.7,91.8,6.1,61.6,53.2,8.5,50728,71815,5.1,9.6,90.4,602900.0,1363,23.7,9.7,90.3,43.7,21.6,15.8,0.0,23.4
53,2120,31.083798882681563,33.36986301369863,2021,15082,2.63,21.7,40.2,18.7,8.1,11.1,2.2,26.3,1.5,0.5,0.5,3.3,1.3,4.9,9.5,5.3,2.3,1.2,36.0,27.6,21.9,4.1,6.9,13.7,91.8,6.1,61.6,53.2,8.5,50728,71815,5.1,9.6,90.4,602900.0,1363,23.7,9.7,90.3,43.7,21.6,15.8,0.0,23.4
54,2120,34.41456582633053,30.378082191780823,2022,15082,2.63,21.7,40.2,18.7,8.1,11.1,2.2,26.3,1.5,0.5,0.5,3.3,1.3,4.9,9.5,5.3,2.3,1.2,36.0,27.6,21.9,4.1,6.9,13.7,91.8,6.1,61.6,53.2,8.5,50728,71815,5.1,9.6,90.4,602900.0,1363,23.7,9.7,90.3,43.7,21.6,15.8,0.0,23.4
55,2121,31.747899159663863,40.31491712707182,2017,29888,2.78,34.5,38.6,27.2,8.8,0.2,2.5,13.1,1.9,0.6,0.0,0.4,0.2,0.3,1.8,1.4,5.5,14.1,38.3,35.6,41.8,9.2,3.5,7.1,80.2,16.0,62.9,58.5,4.4,40732,70568,5.0,23.3,76.7,541900.0,1129,33.3,25.1,74.9,12.1,57.9,0.2,0.0,33.4
56,2121,31.565934065934066,43.07988980716254,2018,29888,2.78,34.5,38.6,27.2,8.8,0.2,2.5,13.1,1.9,0.6,0.0,0.4,0.2,0.3,1.8,1.4,5.5,14.1,38.3,35.6,41.8,9.2,3.5,7.1,80.2,16.0,62.9,58.5,4.4,40732,70568,5.0,23.3,76.7,541900.0,1129,33.3,25.1,74.9,12.1,57.9,0.2,0.0,33.4
57,2121,31.304469273743017,34.99452054794521,2019,29888,2.78,34.5,38.6,27.2,8.8,0.2,2.5,13.1,1.9,0.6,0.0,0.4,0.2,0.3,1.8,1.4,5.5,14.1,38.3,35.6,41.8,9.2,3.5,7.1,80.2,16.0,62.9,58.5,4.4,40732,70568,5.0,23.3,76.7,541900.0,1129,33.3,25.1,74.9,12.1,57.9,0.2,0.0,33.4
