Zipcode,Estimated_Total_Households,Estimated_Average_Household_Size,Estimated_Average_Family_Size,Estimated_Total_Population,Estimated_Total_Population_Native,Percent_Total_Population_Native,Percent_Total_Population_Native_Born in United States,Estimated_Total_Population_Native_Born in United States,"Estimated_Total_Population_Native_Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","Percent_Total_Population_Native_Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Percent_Total_Population_Foreign born,Estimated_Total_Population_Foreign born,Percent_Foreign_Born_U.S._Citizenship_Status_Naturalized_US_cizitzen,Estimated_Foreign_Born_U.S._Citizenship_Status_Naturalized U.S. citizen,Percent_Foreign_Born_U.S._Citizenship_Status_Not a U.S. citizen,Estimated_Foreign_Born_U.S._Citizenship_Status_Not a U.S. citizen,Percent_Foreign_Born_World_Wide_Europe,Percent_Foreign_Born_World_Wide_Asia ,Percent_Foreign_Born_World_Wide_Africa,Percent_Foreign_Born_World_Wide_Oceania,Percent_Foreign_Born_World_Wide_Latin America,Percent_Foreign_Born_World_Wide_Northern America,Estimate_Foreign_Born_World_Wide_Europe,Estimate_Foreign_Born_World_Wide_Asia,Estimate_Foreign_Born_World_Wide_Africa,Estimate_Foreign_Born_World_Wide_Oceania,Estimate_Foreign_Born_World_Wide_Latin America,Estimate_Foreign_Born_World_Wide_Northern America,Estimated_Population_Over_25_Education_Attainment,Estimated_Population_Over_25_Education_Attainment_Less than 9th grade,"Estimated_Population_Over_25_Education_Attainment_9th to 12th grade, no diploma",Estimated_Population_Over_25_Education_Attainment_High school graduate or higher,Percent_Population_Over_25_Education_Attainment,Percent_Population_Over_25_Education_Attainment_Less than 9th grade,"Percent_Population_Over_25_Education_Attainment_9th to 12th grade, no diploma",Percent_Population_Over_25_Education_Attainment_High school graduate or higher
02045,4380,2.31,3.01,10120,9564,94.5,93.9,9502,62,0.6,5.5,556,80.2,446,19.8,110,54.3,20.1,2,0,20.7,2.9,302,112,11,0,115,16,8182,29,245,7908,8182,0.4,3,96.7
02108,1905,1.65,2.44,4225,3576,84.6,81.9,3460,116,2.7,15.4,649,70.9,460,29.1,189,24.2,38.5,6.8,0,16.8,13.7,157,250,44,0,109,89,2901,11,66,2824,2901,0.4,2.3,97.3
02109,1958,1.78,2.55,3627,3081,84.9,83.6,3032,49,1.4,15.1,546,56.8,310,43.2,236,21.1,53.5,2.4,1.3,2.7,19,115,292,13,7,15,104,3206,53,51,3102,3206,1.7,1.6,96.8
02110,1282,1.78,2.27,2307,1817,78.8,78.8,1817,0,0,21.2,490,62.2,305,37.8,185,52.7,28.6,3.9,0,7.8,7.1,258,140,19,0,38,35,2052,0,45,2007,2052,0,2.2,97.8
02111,3515,1.93,2.74,7841,4237,54,51.8,4061,176,2.2,46,3604,48.9,1764,51.1,1840,7.5,81.5,3,0,7.9,0.1,270,2936,108,0,285,5,5027,684,222,4121,5027,13.6,4.4,82
02113,4025,1.66,2.5,6726,5903,87.8,85.8,5770,133,2,12.2,823,45.3,373,54.7,450,44,18.7,5.8,0,24.1,7.4,362,154,48,0,198,61,5119,19,103,4997,5119,0.4,2,97.6
02114,7358,1.7,2.54,13401,10439,77.9,75.3,10086,353,2.6,22.1,2962,39.8,1179,60.2,1783,31.2,33.5,3.5,1.3,24.6,5.9,923,991,105,39,730,174,11460,176,241,11043,11460,1.5,2.1,96.4
02115,9455,1.71,2.63,28559,20934,73.3,70.3,20076,858,3,26.7,7625,33,2518,67,5107,16,50.5,5.4,0.7,23.6,3.8,1221,3850,415,52,1798,289,11389,532,523,10334,11389,4.7,4.6,90.7
02116,11707,1.71,2.48,22587,17623,78,76,17161,462,2,22,4964,50.7,2515,49.3,2449,23.2,51,5.6,2.3,14.7,3.1,1154,2532,279,113,731,155,16578,852,327,15399,16578,5.1,2,92.9
02118,13847,1.84,2.73,27718,19911,71.8,66.2,18352,1559,5.6,28.2,7807,63.2,4932,36.8,2875,9.3,46.1,12,0.9,28.9,2.8,723,3599,937,74,2259,215,22096,2477,1041,18578,22096,11.2,4.7,84.1
02119,11953,2.32,3.25,28307,20727,73.2,64.3,18197,2530,8.9,26.8,7580,55.7,4223,44.3,3357,4.2,5.8,25.9,0,63.8,0.2,320,441,1964,0,4839,16,19123,2259,1953,14911,19123,11.8,10.2,78
02120,4701,2.63,2.97,15082,11814,78.3,70,10558,1256,8.3,21.7,3268,41.5,1357,58.5,1911,7.5,54.3,9.8,0.2,27.5,0.7,244,1775,321,8,898,22,6819,467,641,5711,6819,6.8,9.4,83.8
02121,10718,2.78,3.55,29888,19586,65.5,59,17638,1948,6.5,34.5,10302,49.6,5109,50.4,5193,1.5,0.7,16.6,0,81.2,0,157,69,1715,0,8361,0,19368,2158,1579,15631,19368,11.1,8.2,80.7
02122,9004,2.6,3.28,23747,15859,66.8,62.2,14760,1099,4.6,33.2,7888,57.3,4516,42.7,3372,7,33.3,27.8,0.2,31.7,0,551,2628,2192,18,2499,0,17083,1800,1640,13643,17083,10.5,9.6,79.9
02124,19395,2.87,3.4,56070,38266,68.2,65.5,36729,1537,2.7,31.8,17804,60.6,10788,39.4,7016,3.8,18.8,13.6,0,63.2,0.5,681,3353,2428,0,11261,81,37750,3368,2901,31481,37750,8.9,7.7,83.4
02125,12986,2.47,3.24,32614,21883,67.1,63.2,20596,1287,3.9,32.9,10731,59.3,6361,40.7,4370,9.3,25,29.8,0.4,34.9,0.7,997,2683,3196,38,3741,76,22555,1786,1171,19598,22555,7.9,5.2,86.9
02127,16799,2.08,2.76,35266,30752,87.2,85.3,30069,683,1.9,12.8,4514,64,2890,36,1624,19.6,30.5,9.5,0,37.9,2.5,886,1376,431,0,1709,112,28596,1120,886,26590,28596,3.9,3.1,93
02128,16925,2.68,3.29,45501,24475,53.8,51.5,23431,1044,2.3,46.2,21026,29.3,6161,70.7,14865,4.8,8.4,4.2,0,82.6,0,999,1756,885,10,17370,6,33559,5786,2657,25116,33559,17.2,7.9,74.8
02129,9278,2.19,2.98,20411,17129,83.9,80.9,16513,616,3,16.1,3282,56.2,1845,43.8,1437,17.8,46,5,2.3,26.9,2,584,1511,165,74,884,64,15630,576,723,14331,15630,3.7,4.6,91.7
02130,17609,2.25,2.93,41112,32249,78.4,74.5,30622,1627,4,21.6,8863,56.8,5036,43.2,3827,17.3,21.2,11.3,0.1,47.7,2.4,1530,1877,1000,12,4232,212,31840,1325,1033,29482,31840,4.2,3.2,92.6
02131,12450,2.58,3.17,32609,23702,72.7,68.9,22480,1222,3.7,27.3,8907,67.4,6002,32.6,2905,11.1,8.3,9,0.2,70.4,1.1,985,738,800,18,6268,98,23695,1255,1110,21330,23695,5.3,4.7,90
02134,8082,2.27,2.62,18437,12136,65.8,63.6,11728,408,2.2,34.2,6301,29.3,1847,70.7,4454,15.3,64.4,2.5,0,17.3,0.5,962,4058,158,0,1091,32,12794,312,103,12379,12794,2.4,0.8,96.8
02135,20040,2.19,2.77,45024,32093,71.3,69.3,31215,878,2,28.7,12931,49,6337,51,6594,20.8,46.8,4.9,0.2,26,1.3,2696,6052,631,31,3359,162,33750,1153,913,31684,33750,3.4,2.7,93.9
02138,14377,2.03,2.82,39370,29070,73.8,71,27939,1131,2.9,26.2,10300,32.5,3348,67.5,6952,25.4,46.2,5.6,1.3,17.1,4.4,2618,4762,572,137,1757,454,23392,201,195,22996,23392,0.9,0.8,98.3
02139,15263,2.19,2.86,39707,28256,71.2,68.4,27156,1100,2.8,28.8,11451,48.9,5595,51.1,5856,22.4,42.5,11.3,0.6,19.4,3.8,2563,4864,1299,68,2226,431,26915,922,619,25374,26915,3.4,2.3,94.3
02140,9437,2.12,2.91,20060,13829,68.9,65.5,13135,694,3.5,31.1,6231,44.7,2783,55.3,3448,17.7,48.8,13.7,1,16.4,2.6,1100,3038,852,61,1020,160,15422,363,312,14747,15422,2.4,2,95.6
02141,6826,2.04,2.79,13953,9308,66.7,63.7,8889,419,3,33.3,4645,33.1,1536,66.9,3109,22.8,43.7,4.6,0.8,24.6,3.6,1057,2028,214,39,1141,166,10298,561,314,9423,10298,5.4,3,91.5
02142,2077,1.82,2.41,4172,2473,59.3,58.6,2443,30,0.7,40.7,1699,17.7,301,82.3,1398,12,64.1,7.8,0.7,10.7,4.7,204,1089,132,12,182,80,3265,10,0,3255,3265,0.3,0,99.7
02143,11623,2.15,2.74,25264,19372,76.7,74.3,18766,606,2.4,23.3,5892,38.1,2247,61.9,3645,26.9,31,3.9,0.7,29.9,7.6,1586,1828,232,40,1761,445,20392,590,730,19072,20392,2.9,3.6,93.5
02144,11363,2.19,2.74,25367,21522,84.8,83.7,21229,293,1.2,15.2,3845,42.6,1637,57.4,2208,29.3,34.7,11.7,1.8,17.5,5,1128,1334,449,70,672,192,18880,426,480,17974,18880,2.3,2.5,95.2
02145,11349,2.4,2.96,27359,18110,66.2,63.9,17484,626,2.3,33.8,9249,43.5,4024,56.5,5225,19,19,2.2,0.8,57.7,1.3,1754,1756,204,78,5339,118,20821,1855,1089,17877,20821,8.9,5.2,85.9
02152,8242,2.3,3.08,19088,15731,82.4,80.8,15420,311,1.6,17.6,3357,56.1,1882,43.9,1475,33.4,6.9,8.5,0.2,47.9,3.1,1120,232,285,7,1608,105,14699,354,330,14015,14699,2.4,2.2,95.3
02163,403,1.98,2.5,2198,1370,62.3,59.6,1310,60,2.7,37.7,828,6.9,57,93.1,771,13.9,44.2,5,0,31.9,5.1,115,366,41,0,264,42,1110,0,0,1110,1110,0,0,100
02170,8001,2.45,3.2,20130,12946,64.3,63.4,12760,186,0.9,35.7,7184,60.1,4319,39.9,2865,9.4,79.3,6.7,0,3.8,0.8,674,5700,482,0,272,56,15565,1298,1114,13153,15565,8.3,7.2,84.5
02171,8869,2.23,3.04,19923,12600,63.2,61.6,12280,320,1.6,36.8,7323,52.1,3817,47.9,3506,10.4,73.9,9.6,0,5.4,0.6,763,5414,701,0,398,47,15611,988,909,13714,15611,6.3,5.8,87.8
02199,833,1.48,2.02,1232,817,66.3,65.1,802,15,1.2,33.7,415,14,58,86,357,16.1,71.8,0,0,12,0,67,298,0,0,50,0,1056,12,15,1029,1056,1.1,1.4,97.4
02210,3016,1.53,2.34,4830,3748,77.6,76.6,3701,47,1,22.4,1082,50.3,544,49.7,538,26.4,41,5.1,0,4,23.5,286,444,55,0,43,254,4194,0,0,4194,4194,0,0,100
02215,7931,1.61,2.26,25856,19319,74.7,71.9,18598,721,2.8,25.3,6537,23.2,1518,76.8,5019,15.5,61.6,4.3,0.5,12,6.1,1013,4030,282,30,784,398,9676,52,254,9370,9676,0.5,2.6,96.8