Name,<5,5 - 17,18 - 24,25 - 34,35 - 64,> 65,Payroll Jobs,Labor Force,Total Population
Allston,2,3,51,27,14,3,16522,11478,22312
Brighton,3,5,29,31,22,10,16860,28825,52685
Dorchester,6,17,11,19,38,10,25436,68104,124489
Back Bay,3,3,6,44,30,15,52623,11530,17577
South End,5,8,8,28,38,12,30387,19900,31601
North End,2,5,13,46,24,12,2999,7044,9107
East Boston,7,14,10,22,39,9,21076,27736,44989
Fenway,1,2,59,21,13,4,16126,17766,32210
Mission Hill,3,9,37,18,23,11,37293,27736,16700
Longwood Medical Area,2,1,87,7,3,1,15544,27736,5233
Hyde Park,5,17,10,14,41,13,4900,19581,35585
West Roxbury,8,14,4,13,43,17,5638,18130,32795
Jamaica Plain,5,11,9,27,36,10,12899,24830,39240
Mattapan,5,17,9,15,41,13,2062,13590,24268
Roslindale,7,14,7,16,45,12,4187,17389,28644
Roxbury,7,16,18,16,34,10,23911,23813,51252
South Boston,4,10,8,37,32,9,13298,23566,35660
Beacon Hill,6,4,0,53,26,11,3496,6922,9305
Charlestown,9,12,5,28,38,9,16626,11193,18058
Downtown Boston,4,4,24,22,32,15,178233,9886,16903
South Boston Waterfront,2,2,10,39,38,8,27577,2307,2862
West End,5,4,12,30,36,12,37302,3557,5945