Name,TotChild,OlderAdult,MedIllnes,POC2,LEP,Low_to_No,TotDis,MBTA_Stops_Count,AQI_OZONE,AQI_PM10,AQI_PM2.5,CategoryName_OZONE,CategoryName_PM10,CategoryName_PM2.5,ZipCode,CASTHMA_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,STROKE_CrudePrev,HIGHCHOL_CrudePrev,GHLTH_CrudePrev,PHLTH_CrudePrev,MHLTH_CrudePrev,CSMOKING_CrudePrev,BINGE_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev
Allston,173,144,2831.85,3011,3444,3300,400,4,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2134,10.6,2.9,2.2,1.2,20.6,8.9,6.1,17.8,8.8,22.8,17.0,18.3,29.5
Back Bay,1686,3759,11842.96,6923,9075,5316,1892,6,32.302325581395344,14.156,33.43157296990346,Good,Good,Good,2116,10.2,3.5,3.5,1.8,27.7,8.9,6.5,14.6,7.8,21.2,16.3,18.5,28.2
Bay Village,1249,1711,4292.93,6008,5640,3929,1122,7,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2116,10.2,3.5,3.5,1.8,27.7,8.9,6.5,14.6,7.8,21.2,16.3,18.5,28.2
South End,2552,1421,6516.8,6384,5925,4504,1874,6,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2116,10.2,3.5,3.5,1.8,27.7,8.9,6.5,14.6,7.8,21.2,16.3,18.5,28.2
Brighton,4244,5847,23936.8,19768,22914,17067,5502,8,32.302325581395344,14.156000000000002,33.43157296990346,Good,Good,Good,2135,10.5,3.5,3.2,1.6,24.3,8.9,6.5,16.2,8.6,22.3,16.8,18.6,28.7
Charlestown,3301,1811,6461.47,3981,5968,4157,1535,2,32.302325581395344,14.156,29.433602771362587,Good,Good,Good,2129,10.5,4.3,3.7,1.9,28.1,9.9,7.5,14.7,10.5,21.3,17.5,21.4,29.5
Dorchester,17424,6535,25010.76,50778,29284,22749,9819,3,32.30232558139536,14.156,33.431572969903456,Good,Good,Good,2122,11.7,6.4,5.0,3.0,30.5,17.7,10.8,17.5,16.7,17.3,27.9,25.7,36.2
Mattapan,8859,4073,12396.87,28276,13604,9531,5605,4,34.00557057077501,14.156,33.43157296990346,Good,,,2122,11.7,6.4,5.0,3.0,30.5,17.7,10.8,17.5,16.7,17.3,27.9,25.7,36.2
East Boston,8665,4147,14824.6,25459,17845,13698,5180,10,32.302325581395344,14.156000000000002,30.861449270841472,Good,Good,Good,2128,11.0,5.8,4.6,2.5,29.0,17.8,10.7,17.4,15.3,20.0,28.3,26.3,33.0
Fenway,453,496,10080.74,9808,7177,6681,1240,7,32.302325581395344,14.156,33.43157296990346,Good,Good,Good,2115,12.6,4.0,2.8,1.5,20.9,12.3,7.8,23.4,10.6,21.1,21.7,19.6,31.1
Longwood Medical Area,118,11,1824.08,1480,197,186,207,0,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2115,12.6,4.0,2.8,1.5,20.9,12.3,7.8,23.4,10.6,21.1,21.7,19.6,31.1
Mission Hill,1973,1525,8467.93,10624,10394,8869,2215,10,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2115,12.6,4.0,2.8,1.5,20.9,12.3,7.8,23.4,10.6,21.1,21.7,19.6,31.1
Harbor Islands,0,12,230.53,370,361,349,179,0,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2127,10.7,4.1,3.5,1.8,26.4,10.1,7.3,15.3,10.1,22.8,17.3,20.9,29.0
South Boston,3455,2395,8925.16,4258,7886,5491,2143,0,32.302325581395344,14.156000000000002,33.43157296990346,Good,Good,Good,2127,10.7,4.1,3.5,1.8,26.4,10.1,7.3,15.3,10.1,22.8,17.3,20.9,29.0
South Boston Waterfront,392,456,2514.9300000000003,598,1057,601,357,12,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2127,10.7,4.1,3.5,1.8,26.4,10.1,7.3,15.3,10.1,22.8,17.3,20.9,29.0
Hyde Park,3256,2219,6412.46,11132,4902,2683,2117,0,35.027517564402814,,,Good,,,2136,12.0,6.1,5.3,3.3,31.2,16.6,10.5,16.0,14.0,17.1,26.0,28.5,35.7
West Roxbury,4758,3632,9078.9,9121,7254,3622,2580,0,35.027517564402814,,,Good,,,2136,12.0,6.1,5.3,3.3,31.2,16.6,10.5,16.0,14.0,17.1,26.0,28.5,35.7
Jamaica Plain,7300,4381,16600.57,22247,17366,12985,4570,7,32.29620629647207,14.156000000000002,33.42869161280196,Good,Good,Good,2121,14.3,7.7,5.8,4.3,30.2,25.2,13.7,20.3,19.8,14.6,35.9,35.2,41.6
Leather District,465,812,2397.59,2378,2065,1253,457,9,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2110,10.0,5.8,6.2,2.8,36.4,10.9,8.7,12.4,9.4,17.7,17.8,21.7,27.8
North End,1028,2122,7217.86,2957,5277,3155,1338,7,32.302325581395344,14.156,33.43157296990346,Good,Good,Good,2113,10.3,2.5,2.4,1.2,21.5,5.8,4.9,14.9,6.3,25.6,11.6,17.1,26.1
Roslindale,13324,8231,24029.32,33106,19480,11249,7286,1,34.723261482578984,14.156,33.4253986332574,Good,,,2131,11.0,5.0,4.5,2.6,30.6,13.1,9.0,14.6,11.4,18.8,21.7,25.0,32.0
Roxbury,19517,6675,28235.1,67217,39947,33272,12611,10,32.302325581395365,14.156,33.43157296990345,Good,Good,Good,2118,10.9,4.8,4.1,2.4,28.4,14.5,9.0,16.5,13.4,19.5,23.4,24.5,33.1
West End,467,772,2807.82,1400,2184,1412,472,1,32.30232558139535,14.156,33.43157296990346,Good,Good,Good,2114,9.9,2.8,2.8,1.4,24.1,6.8,5.4,13.8,6.8,23.3,13.1,18.2,27.5
